gameId,playId,playDesc
58843,1736,"(7:00) (Shotgun) 32-D.Swift right end to DET 30 for 1 yard (22-M.Epps). PENALTY on DET-88-T.Hockenson, Offensive Holding, 10 yards, enforced at DET 29 - No Play."
58843,2604,"(11:34) (Shotgun) 26-M.Sanders right end pushed ob at DET 29 for 24 yards (21-T.Walker, 1-J.Okudah). PENALTY on DET-34-A.Anzalone, Unnecessary Roughness, 15 yards, enforced at DET 29."
58843,2851,"(7:49) (Shotgun) PENALTY on PHI-91-F.Cox, Encroachment, 5 yards, enforced at DET 43 - No Play."
58843,3172,"(2:45) (Shotgun) 1-J.Hurts scrambles right tackle to DET 38 for 5 yards (21-T.Walker). PENALTY on DET-21-T.Walker, Disqualification, 15 yards, enforced at DET 38. Penalty on DET-21-T.Walker, Unnecessary Roughness, declined."
58843,3336,"(:27) (Shotgun) 16-J.Goff pass incomplete deep left to 11-K.Raymond. PENALTY on PHI-57-T.Edwards, Defensive Holding, 5 yards, enforced at PHI 42 - No Play."
58843,3617,"(12:59) (Shotgun) PENALTY on PHI, Delay of Game, 5 yards, enforced at PHI 40 - No Play."
58843,3866,"(9:14) (Shotgun) 1-J.Hurts pass incomplete deep left to 6-D.Smith. Penalty on DET-1-J.Okudah, Defensive Pass Interference, offsetting, enforced at PHI 17 - No Play. Penalty on PHI-65-L.Johnson, Ineligible Downfield Pass, offsetting."
58843,3920,"(8:31) 8-A.Siposs punts 43 yards to DET 38, Center-45-R.Lovato. 11-K.Raymond to DET 49 for 11 yards (58-K.Johnson; 48-P.Johnson). PENALTY on DET-31-K.Joseph, Offensive Holding, 10 yards, enforced at DET 38."
58843,4143,"(4:48) (Shotgun) 16-J.Goff pass incomplete short middle to 88-T.Hockenson. PENALTY on PHI-23-C.Gardner-Johnson, Defensive Pass Interference, 11 yards, enforced at PHI 41 - No Play."
58843,4490,"(:37) PENALTY on PHI, Offensive Too Many Men on Field, 5 yards, enforced at DET 39 - No Play."
58844,1372,"(2:48) (Shotgun) 10-D.Mills pass incomplete deep right to 15-C.Moore. PENALTY on IND-23-K.Moore, Defensive Pass Interference, 33 yards, enforced at IND 49 - No Play."
58844,1566,"(1:37) (Shotgun) PENALTY on HST-50-M.Dwumfour, Neutral Zone Infraction, 5 yards, enforced at IND 41 - No Play."
58844,1678,"(:48) (Shotgun) PENALTY on IND-72-B.Smith, False Start, 5 yards, enforced at HST 37 - No Play."
58844,2100,"(12:17) 28-J.Taylor right end to IND 26 for 1 yard (58-C.Kirksey, 52-J.Greenard). PENALTY on HST-96-M.Collins, Defensive Holding, 5 yards, enforced at IND 26."
58844,2196,"(10:24) (Shotgun) 2-M.Ryan pass short right to 28-J.Taylor to HST 44 for 14 yards (51-K.Grugier-Hill, 58-C.Kirksey). PENALTY on IND-56-Q.Nelson, Ineligible Downfield Pass, 5 yards, enforced at IND 42 - No Play."
58844,2231,"(9:53) (Shotgun) 2-M.Ryan pass incomplete short middle to 14-A.Pierce [50-M.Dwumfour]. PENALTY on HST-5-J.Pitre, Unnecessary Roughness, 15 yards, enforced at IND 37 - No Play."
58844,2369,"(8:23) (Shotgun) 10-D.Mills pass short left to 15-C.Moore to IND 42 for 11 yards (31-B.Facyson, 23-K.Moore) [90-G.Stewart]. PENALTY on IND-91-Y.Ngakoue, Roughing the Passer, 15 yards, enforced at IND 42."
58844,2661,"(4:38) 11-C.Johnston punts 50 yards to IND 43, Center-46-J.Weeks. 21-N.Hines to IND 45 for 2 yards (20-I.Yiadom). PENALTY on IND-45-E.Speed, Running Into the Kicker, 5 yards, enforced at HST 7 - No Play."
58844,2763,"(2:38) 10-D.Mills pass incomplete deep left to 13-B.Cooks [54-D.Odeyingbo]. PENALTY on IND-23-K.Moore, Defensive Pass Interference, 21 yards, enforced at HST 25 - No Play."
58844,2952,"(14:56) (Run formation) PENALTY on HST, Delay of Game, 5 yards, enforced at IND 36 - No Play."
58844,3236,"(10:47) (Field Goal formation) PENALTY on IND, Delay of Game, 5 yards, enforced at HST 4 - No Play."
58844,3545,"(4:44) (Shotgun) 10-D.Mills pass incomplete short left to 12-N.Collins. Penalty on HST, Illegal Shift, declined."
58844,4251,"(9:14) (Shotgun) 10-D.Mills pass incomplete short left to 4-P.Dorsett. Penalty on HST-4-P.Dorsett, Illegal Shift, declined."
58844,4285,"(9:10) (Shotgun) PENALTY on HST-71-T.Howard, False Start, 5 yards, enforced at HST 33 - No Play."
58844,4679,"(1:28) (Shotgun) PENALTY on HST-68-J.Britt, False Start, 5 yards, enforced at HST 40 - No Play."
58845,419,"(6:48) (Run formation) PENALTY on NE-98-Ca.Davis, Neutral Zone Infraction, 5 yards, enforced at 50 - No Play."
58845,681,"(1:48) (Shotgun) PENALTY on NE-85-H.Henry, False Start, 5 yards, enforced at NE 48 - No Play."
58845,1504,"(2:04) (No Huddle) PENALTY on MIA-88-M.Gesicki, False Start, 5 yards, enforced at MIA 34 - No Play."
58845,2043,"(9:07) (No Huddle, Shotgun) PENALTY on MIA, Defensive Too Many Men on Field, 5 yards, enforced at MIA 42 - No Play."
58845,2137,"(7:04) (Shotgun) 10-M.Jones pass incomplete deep middle to 1-D.Parker. PENALTY on MIA-25-X.Howard, Illegal Contact, 5 yards, enforced at MIA 28 - No Play."
58845,2647,"(13:05) (Shotgun) 10-M.Jones pass incomplete deep right to 81-J.Smith. Penalty on MIA-8-J.Holland, Roughing the Passer, offsetting, enforced at NE 42 - No Play. Penalty on NE-14-T.Montgomery, Chop Block, offsetting."
58845,2902,"(9:46) (Shotgun) 10-M.Jones pass incomplete deep middle to 85-H.Henry (28-K.Kohou). Penalty on NE-77-T.Brown, Offensive Holding, declined."
58845,3074,"(6:06) (Punt formation) PENALTY on MIA, Delay of Game, 5 yards, enforced at NE 41 - No Play."
58845,3497,"(1:05) 31-R.Mostert left guard to NE 13 for 3 yards (2-J.Mills; 30-M.Wilson). PENALTY on NE, Defensive Too Many Men on Field, 5 yards, enforced at NE 16 - No Play."
58846,136,"(14:01) (No Huddle, Shotgun) 19-J.Flacco pass incomplete short right [93-C.Campbell]. PENALTY on NYJ-19-J.Flacco, Intentional Grounding, 10 yards, enforced at NYJ 46."
58846,436,"(8:31) (Shotgun) 19-J.Flacco pass incomplete deep left to 8-E.Moore. PENALTY on BLT-44-M.Humphrey, Illegal Contact, 5 yards, enforced at NYJ 12 - No Play."
58846,660,"(5:21) 32-Mi.Carter right end pushed ob at NYJ 44 for 3 yards (40-M.Harrison). PENALTY on NYJ-81-L.Cager, Offensive Holding, 10 yards, enforced at NYJ 42."
58846,1563,"(4:41) 8-L.Jackson pass incomplete deep right to 10-D.Robinson. PENALTY on NYJ-29-L.Joyner, Defensive Pass Interference, 32 yards, enforced at BLT 38 - No Play."
58846,2500,"(6:30) (No Huddle, Shotgun) 19-J.Flacco sacked at NYJ 20 for -6 yards (92-J.Madubuike). PENALTY on BLT-21-B.Stephens, Illegal Contact, 5 yards, enforced at NYJ 26 - No Play."
58846,2748,"9-J.Tucker kicks 70 yards from BLT 35 to NYJ -5. 10-B.Berrios pushed ob at NYJ 18 for 23 yards (5-J.Armour-Davis). PENALTY on NYJ-54-J.Martin, Offensive Holding, 9 yards, enforced at NYJ 18."
58846,3071,"(13:17) (Shotgun) 8-L.Jackson right end to BLT 28 for 5 yards (57-C.Mosley). PENALTY on BLT-80-I.Likely, Offensive Holding, 10 yards, enforced at BLT 23 - No Play."
58846,3443,"(7:08) (No Huddle, Shotgun) 32-Mi.Carter left end to BLT 21 for no gain (60-S.Means; 40-M.Harrison). PENALTY on NYJ-76-G.Fant, Offensive Holding, 10 yards, enforced at BLT 21 - No Play."
58846,3669,"(4:17) (Shotgun) 17-K.Drake right end to BLT 19 for 12 yards (3-J.Whitehead; 57-C.Mosley). PENALTY on BLT-3-J.Proche, Offensive Holding, 4 yards, enforced at BLT 7 - No Play."
58846,3886,"(2:07) (Shotgun) 19-J.Flacco sacked at BLT 31 for -9 yards (96-B.Washington). PENALTY on BLT-23-K.Fuller, Defensive Holding, 5 yards, enforced at BLT 22 - No Play."
58846,4013,"(1:22) (Shotgun) 19-J.Flacco pass short right to 8-E.Moore for 12 yards, TOUCHDOWN NULLIFIED by Penalty. BLT-23-K.Fuller was injured during the play.  PENALTY on NYJ-8-E.Moore, Offensive Pass Interference, 10 yards, enforced at BLT 12 - No Play."
58847,58,"(15:00) (Shotgun) 16-T.Lawrence pass incomplete short right to 11-M.Jones [94-D.Payne]. PENALTY on WAS-3-W.Jackson, Illegal Contact, 5 yards, enforced at JAX 25 - No Play."
58847,91,"(14:56) 25-J.Robinson right end pushed ob at JAX 32 for 2 yards (55-C.Holcomb). PENALTY on JAX, Illegal Shift, 5 yards, enforced at JAX 30 - No Play."
58847,128,"(14:36) (Shotgun) 16-T.Lawrence pass short middle to 13-C.Kirk to 50 for 25 yards (22-D.Forrest). Penalty on WAS-25-B.St-Juste, Defensive Holding, declined."
58847,611,"(5:52) 16-T.Lawrence pass incomplete short right [25-B.St-Juste]. PENALTY on JAX-16-T.Lawrence, Intentional Grounding, 10 yards, enforced at JAX 37."
58847,816,"(2:04) (Shotgun) PENALTY on JAX-44-T.Walker, Neutral Zone Infraction, 6 yards, enforced at WAS 39 - No Play."
58847,1063,"(12:41) (Shotgun) 11-C.Wentz pass incomplete short middle to 23-J.McKissic. PENALTY on JAX-91-D.Smoot, Roughing the Passer, 11 yards, enforced at JAX 22 - No Play."
58847,1358,"(9:07) 1-T.Etienne right end to JAX 45 for 16 yards (52-J.Davis, 3-W.Jackson). PENALTY on JAX, Illegal Formation, 5 yards, enforced at JAX 29 - No Play."
58847,1412,"(8:30) (Shotgun) 16-T.Lawrence sacked at JAX 18 for -6 yards (52-J.Davis). PENALTY on WAS-29-K.Fuller, Illegal Contact, 5 yards, enforced at JAX 24 - No Play."
58847,1442,"(7:59) (Shotgun) 16-T.Lawrence pass incomplete deep left to 11-M.Jones [93-J.Allen]. PENALTY on WAS-29-K.Fuller, Defensive Pass Interference, 21 yards, enforced at JAX 29 - No Play."
58847,2038,"(:37) (Shotgun) PENALTY on JAX-74-C.Robinson, False Start, 5 yards, enforced at WAS 9 - No Play."
58847,2579,"(8:30) (Shotgun) 11-C.Wentz pass short middle to 10-C.Samuel to WAS 32 for 6 yards (26-S.Griffin). PENALTY on JAX, Defensive Too Many Men on Field, 6 yards, enforced at WAS 26 - No Play."
58847,2872,"(3:35) (Shotgun) 39-J.Agnew right end to WAS 44 for 6 yards (95-C.Toohill; 22-D.Forrest). PENALTY on WAS-22-D.Forrest, Unnecessary Roughness, 15 yards, enforced at WAS 44."
58847,2909,"(3:05) (Shotgun) 1-T.Etienne right end to WAS 26 for 3 yards (52-J.Davis; 92-D.Wise). WAS-22-D.Forrest was injured during the play.  PENALTY on JAX-79-L.Fortner, Offensive Holding, 10 yards, enforced at WAS 29 - No Play."
58847,3047,"(1:16) (Shotgun) 11-C.Wentz pass deep middle intended for 10-C.Samuel INTERCEPTED by 31-D.Williams at JAX 27. 31-D.Williams to JAX 27 for no gain (10-C.Samuel). PENALTY on JAX-95-R.Robertson-Harris, Defensive Offside, 5 yards, enforced at WAS 25 - No Play."
58847,3253,"(13:00) 16-T.Lawrence pass incomplete short middle [95-C.Toohill]. PENALTY on JAX-16-T.Lawrence, Intentional Grounding, 12 yards, enforced at WAS 31. Washington challenged the forward pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)"
58847,3622,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. 11-C.Wentz is sacked. ATTEMPT FAILS. Penalty on WAS-68-A.Norwell, Illegal Use of Hands, declined."
58847,3840,"(6:48) (Shotgun) 11-C.Wentz pass short middle to 10-C.Samuel to WAS 22 for 12 yards (2-R.Jenkins; 31-D.Williams). PENALTY on WAS-68-A.Norwell, Illegal Use of Hands, 5 yards, enforced at WAS 10 - No Play."
58847,3876,"(6:20) (Shotgun) 11-C.Wentz pass incomplete short middle to 10-C.Samuel (23-F.Oluokun). PENALTY on JAX-23-F.Oluokun, Defensive Holding, 5 yards, enforced at WAS 5 - No Play."
58847,4330,"(1:34) (Shotgun) 16-T.Lawrence pass incomplete short middle to 17-E.Engram. PENALTY on WAS-20-B.McCain, Defensive Pass Interference, 12 yards, enforced at JAX 33 - No Play."
58847,4364,"(1:30) (Shotgun) PENALTY on JAX-72-W.Little, False Start, 5 yards, enforced at JAX 45 - No Play."
58847,4552,"(1:00) (Shotgun) PENALTY on JAX-94-F.Fatukasi, Neutral Zone Infraction, 5 yards, enforced at WAS 33 - No Play."
